SiteID,1686275,Site Timezone,-6,Data Timezone,-6,Longitude,-87.7298278809,Latitude,43.8935852051
Year,Month,Day,Hour,Minute,power - DEPRECATED,wind direction at 100m (deg),wind speed at 100m (m/s),air temperature at 100m (C),air pressure at 100m (Pa),density - DEPRECATED
2009,1,6,3,30,N/A,213.81,4.41,-8.34,97790,N/A
2009,1,6,4,30,N/A,199.70000000000002,3.59,-8.72,97760,N/A
2009,1,6,5,30,N/A,194.79,3.24,-8.85,97710,N/A
2009,1,6,6,30,N/A,181.58,2.63,-9.13,97660,N/A
2009,1,6,7,30,N/A,167.42000000000002,2.84,-8.51,97620,N/A
2009,1,6,8,30,N/A,157.43,2.98,-8.36,97550,N/A
2009,1,6,9,30,N/A,147.48,3.04,-7.26,97470,N/A
2009,1,6,10,30,N/A,141.6,3.13,-6.13,97360,N/A
2009,1,6,11,30,N/A,148.28,4.94,-5.13,97280,N/A
2009,1,6,12,30,N/A,145.86,5.25,-3.45,97180,N/A
2009,1,6,13,30,N/A,150.76,9.370000000000001,-1.19,97100,N/A
2009,1,6,14,30,N/A,148.63,9.4,-0.89,97020,N/A
2009,1,6,15,30,N/A,144.4,9.3,-0.78,96940,N/A
2009,1,6,16,30,N/A,141.06,9.34,-0.63,96930,N/A
2009,1,6,17,30,N/A,140.32,9.14,-0.54,96870,N/A
2009,1,6,18,30,N/A,139.63,8.93,-0.71,96830,N/A
2009,1,6,19,30,N/A,135.61,8.76,-1.1500000000000001,96790,N/A
2009,1,6,20,30,N/A,137.91,8.64,-1.31,96720,N/A
2009,1,6,21,30,N/A,136.28,7.87,-1.42,96620,N/A
2009,1,6,22,30,N/A,135.26,7.29,-1.55,96500,N/A
2009,1,6,23,30,N/A,133.19,6.87,-1.73,96420,N/A
2009,1,7,0,30,N/A,127.3,6.05,-1.93,96330,N/A
2009,1,7,1,30,N/A,120.83,5.29,-2.13,96240,N/A
2009,1,7,2,30,N/A,119.24000000000001,3.45,-2.2600000000000002,96160,N/A
